Episode,Event,X_Pos
0,death,304
1,death,1125
2,death,722
3,death,806
4,death,843
5,death,700
6,death,723
7,death,231
8,death,294
9,death,1409
10,death,1411
11,death,291
12,death,279
13,death,290
14,death,1131
15,death,899
16,death,1787
17,death,289
18,death,693
19,death,705
20,death,1267
21,death,722
22,death,691
23,death,1134
24,death,279
25,death,815
26,death,281
27,death,658
28,death,845
29,death,899
30,death,299
31,death,712
32,death,898
33,death,311
34,death,292
35,death,1409
36,death,684
37,death,278
38,death,295
39,death,303
40,death,294
41,death,677
42,death,290
43,death,1434
44,death,840
45,death,669
46,death,1128
47,death,693
48,death,899
49,death,679
50,death,866
51,death,306
52,death,306
53,death,287
54,death,275
55,death,698
56,death,867
57,death,1122
58,death,1402
59,death,679
60,death,1123
61,death,701
62,death,899
63,death,289
64,death,299
65,death,837
66,death,297
67,death,684
68,death,899
69,death,898
70,death,281
71,death,693
72,death,1423
73,death,706
74,death,900
75,death,305
76,death,898
77,death,285
78,death,842
79,death,684
80,death,1144
81,death,1491
82,death,694
83,death,680
84,death,310
85,death,659
86,death,689
87,death,229
88,death,288
89,death,294
90,death,830
91,death,702
92,death,703
93,death,286
94,death,701
95,death,1411
96,death,899
97,death,2467
98,death,1418
99,death,301
100,death,899
101,death,1122
102,death,294
103,death,263
104,death,1134
105,death,707
106,death,680
107,death,265
108,death,282
109,death,722
110,death,703
111,death,305
112,death,300
113,death,1122
114,death,1409
115,death,722
116,death,1416
117,death,310
118,death,289
119,death,898
120,death,1138
121,death,283
122,death,305
123,death,693
124,death,898
125,death,801
126,death,673
127,death,302
128,death,687
129,death,1440
130,death,303
131,death,666
132,death,863
133,death,304
134,death,301
135,death,661
136,death,651
137,death,679
138,death,898
139,death,724
140,death,1191
141,death,298
142,death,723
143,death,285
144,death,704
145,death,668
146,death,1418
147,death,1410
148,death,817
149,death,1786
150,death,312
151,death,1134
152,death,303
153,death,311
154,death,679
155,death,1125
156,death,691
157,death,295
158,death,686
159,death,304
160,death,303
161,death,789
162,death,274
163,death,303
164,death,267
165,death,295
166,death,666
167,death,1135
168,death,244
169,death,898
170,death,298
171,death,294
172,death,1150
173,death,282
174,death,1956
175,death,280
176,death,803
177,death,297
178,death,1123
179,death,2005
180,death,722
181,death,1787
182,death,899
183,death,1126
184,death,687
185,death,688
186,death,309
187,death,1123
188,death,683
189,death,313
190,death,707
191,death,1131
192,death,296
