Episode,Event,X_Pos
0,death,255
1,death,1126
2,death,290
3,death,690
4,death,1440
5,death,899
6,death,1135
7,death,691
8,death,1670
9,death,2600
10,death,703
11,death,667
12,death,722
13,death,709
14,death,693
15,death,658
16,death,723
17,death,898
18,death,697
19,death,1127
20,death,685
21,death,1125
22,death,697
23,death,282
24,death,2020
25,death,254
26,death,723
27,death,301
28,death,723
29,death,298
30,death,698
31,death,1124
32,death,826
33,death,668
34,death,302
35,death,723
36,death,279
37,death,1126
38,death,871
39,death,284
40,death,675
41,death,290
42,death,1126
43,death,679
44,death,899
45,death,283
46,death,723
47,death,698
48,death,723
49,death,661
50,death,831
51,death,278
52,death,259
53,death,1401
54,death,310
55,death,292
56,death,722
57,death,900
58,death,653
59,death,292
60,death,307
61,death,282
62,death,1409
63,death,315
64,death,1503
65,death,1432
66,death,1130
67,death,722
68,death,296
69,death,297
70,death,692
71,death,273
72,death,725
73,death,688
74,death,723
75,death,723
76,death,1126
77,death,268
78,death,1134
79,death,298
80,death,1226
81,death,689
82,death,712
83,death,1131
84,death,301
85,death,269
86,death,1130
87,death,1124
88,death,898
89,death,1431
90,death,819
91,death,1129
92,death,685
93,death,290
94,death,1138
95,death,1127
96,death,1410
97,death,251
98,death,301
99,death,723
100,death,678
101,death,1474
102,death,309
103,death,1136
104,death,1411
105,death,670
106,death,304
107,death,796
108,death,1421
109,death,279
110,death,1402
111,death,1423
112,death,1137
113,death,1228
114,death,899
115,death,302
116,death,270
117,death,664
118,death,310
119,death,286
120,death,270
121,death,1754
122,death,1138
123,death,859
124,death,279
125,death,900
126,death,680
127,death,898
128,death,1773
129,death,1126
130,death,1430
131,death,2010
132,death,300
133,death,699
134,death,293
135,death,683
136,death,310
137,death,311
138,death,832
139,death,302
140,death,270
141,death,700
142,death,1408
143,death,297
144,death,1122
145,death,1126
146,death,304
147,death,1129
148,death,689
149,death,849
150,death,293
151,death,1124
152,death,1130
153,death,722
154,death,723
155,death,723
156,death,664
157,death,809
158,death,297
159,death,1421
160,death,723
161,death,1126
162,death,704
163,death,1439
164,death,711
165,death,722
166,death,295
167,death,298
168,death,689
169,death,703
170,death,900
171,death,1522
172,death,291
173,death,1234
174,death,313
175,death,899
176,death,697
177,death,1405
178,death,1125
179,death,288
180,death,682
181,death,244
182,death,722
183,death,291
184,death,302
185,death,305
186,death,680
187,death,698
188,death,687
189,death,685
190,death,297
191,death,308
192,death,677
193,death,305
194,death,868
195,death,679
196,death,1127
197,death,818
198,death,696
199,death,1127
200,death,898
201,death,899
202,death,279
203,death,310
204,death,722
205,death,313
206,death,297
207,death,1411
208,death,316
209,death,265
210,death,1122
211,death,705
212,death,260
213,death,306
214,death,303
215,death,289
216,death,299
217,death,674
218,death,692
219,death,1130
220,death,815
221,death,899
222,death,290
223,death,285
224,death,2741
225,death,299
226,death,309
227,death,1152
228,death,693
229,death,850
230,death,290
231,death,683
232,death,814
233,death,307
234,death,675
235,death,672
236,death,314
237,death,840
238,death,723
239,death,295
240,death,300
241,death,791
242,death,298
243,death,711
244,death,302
245,death,256
246,death,1126
247,death,284
248,death,674
249,death,289
250,death,1431
251,death,294
252,death,704
253,death,802
254,death,688
255,death,1417
256,death,304
257,death,702
258,death,709
259,death,682
260,death,900
261,death,292
262,death,314
263,death,1128
264,death,299
265,death,1503
266,death,693
267,death,294
268,death,298
269,death,698
270,death,304
271,death,306
272,death,247
273,death,821
274,death,1411
275,death,678
276,death,1420
277,death,695
278,death,280
279,death,283
280,death,723
281,death,899
282,death,309
283,death,294
284,death,1129
285,death,672
286,death,864
287,death,714
288,death,700
289,death,861
290,death,294
291,death,307
292,death,900
293,death,858
294,death,665
295,death,281
296,death,1651
297,death,301
298,death,272
299,death,296
300,death,1137
301,death,258
302,death,283
303,death,301
304,death,1512
305,death,279
306,death,296
307,death,1134
308,death,723
309,death,691
310,death,302
311,death,832
312,death,296
313,death,294
314,death,1138
315,death,724
316,death,312
317,death,700
318,death,689
319,death,298
